Confnum,Reservation ID,Status,Booking Date,Arrival Date,Departure Date,Booking Window,LOS,Quantity,Room Type,Revenue,Adults,Children,Rate Code,Market Segment Group,Market Code,Source Code,Reservation Type,Block Id
134943,128794,CKOT,5/21/18,5/24/18,5/25/18,3,1,1,B1K,197,1,0,N35,Corporate,CON,UA,,
134944,128795,CKOT,5/21/18,5/25/18,5/26/18,4,1,1,D1K,257,2,0,CALI,Retail Discount,TRA,XBE,,
134946,128797,CKOT,5/21/18,5/23/18,5/24/18,2,1,1,A1D,482,2,0,NH7,Retail Discount,CSI,AA,,
134948,128799,CKOT,5/21/18,5/30/18,5/31/18,9,1,1,C1K,270,2,0,NH7,Retail Discount,CSI,UA,,
134952,128803,CKOT,5/21/18,5/23/18,5/25/18,2,2,1,D1K,720,1,0,T05,Retail Discount,TRA,XBE,,
134953,128804,CKOT,5/21/18,8/30/18,8/31/18,101,1,1,A1D,197,2,0,N35,Corporate,CON,UA,,
134954,128805,CKOT,5/21/18,7/17/18,7/20/18,57,3,1,B1K,645,1,0,NAJV,Corporate,CON,AA,,
134955,128806,CKOT,5/21/18,5/23/18,5/25/18,2,2,1,A1D,394,1,0,N35,Corporate,CON,UA,,
134956,128807,CKOT,5/21/18,6/10/18,6/13/18,20,3,1,C1K,1121,1,0,NMNM,Retail Discount,CSI,1A,,
134957,128808,CKOT,5/21/18,5/29/18,6/1/18,8,3,1,D1K,930,1,0,N98,Corporate,CON,AA,,
134958,128809,CKOT,5/21/18,9/19/18,9/22/18,121,3,1,D1K,1288,2,0,NB15,OTA E-Commerce,TEC,BOOKINGDC,,
134964,128816,CKOT,5/21/18,5/23/18,5/24/18,2,1,1,D1K,520,1,0,N8N,Retail Discount,CSI,AA,,
134965,128817,CKOT,5/21/18,6/2/18,6/8/18,12,6,1,C1S,2760,2,0,T08,Retail Discount,TRA,PMS,,
134966,128819,CKOT,5/21/18,6/4/18,6/7/18,14,3,1,D1K,1510,1,0,T08,Retail Discount,TRA,PMS,,
134967,128821,CKOT,5/21/18,6/6/18,6/8/18,16,2,1,C1K,867,2,0,T08,Retail Discount,TRA,PMS,,
134968,128822,CKOT,5/21/18,9/17/18,9/19/18,119,2,1,C1K,1062,1,0,NH7,Retail Discount,CSI,AA,,
134969,128823,CKOT,5/21/18,7/22/18,7/23/18,62,1,1,D1K,360,2,0,NH7,Retail Discount,CSI,UA,,
134972,128826,CKOT,5/21/18,6/30/18,7/1/18,40,1,1,D1K,265,1,0,R04,BAR,RAC,XBE,,
134974,128827,CKOT,5/21/18,6/28/18,6/29/18,38,1,1,C1S,374,2,0,NXTZ,Retail Discount,CSI,AA,,
134975,128828,CKOT,5/21/18,6/25/18,6/27/18,35,2,1,B1K,560,2,0,LEUHBED,Leisure,LEI,PMS,,
134979,128831,CKOT,5/21/18,6/19/18,6/22/18,29,3,1,B1S,3643,2,0,T08,Retail Discount,TRA,1P,,
134980,128832,CKOT,5/21/18,5/29/18,5/30/18,8,1,1,A1K,253,1,0,N7N,Corporate,CON,UA,,
134981,128833,CKOT,5/21/18,7/6/18,7/7/18,46,1,1,D1K,257,2,0,NH7,Retail Discount,CSI,AA,,
134982,128834,CKOT,5/21/18,8/13/18,8/16/18,84,3,1,B1K,722,1,0,N78I,OTA E-Commerce,TEC,EXPDC,,
134984,128835,CKOT,5/21/18,9/2/18,9/7/18,104,5,1,B1K,1115,2,0,N78I,OTA E-Commerce,TEC,EXPDC,,
134985,128836,CKOT,5/21/18,5/28/18,5/31/18,7,3,1,B1S,3334,2,0,T08,Retail Discount,TRA,XBE,,
134987,128839,CKOT,5/21/18,8/7/18,8/10/18,78,3,1,A1K,1053,1,1,NH7,Retail Discount,CSI,UA,,
134988,128840,CKOT,5/21/18,10/5/18,10/8/18,137,3,1,B1K,859,1,0,NB15,OTA E-Commerce,TEC,BOOKINGDC,,
134989,128841,CKOT,5/21/18,6/18/18,6/20/18,28,2,1,ADA,594,1,0,NTRK,Retail Discount,CSI,UA,,
134990,128842,CKOT,5/21/18,7/21/18,7/22/18,61,1,1,B1K,250,2,0,NAJV,Corporate,CON,PMS,,
134991,128843,CKOT,5/21/18,5/21/18,5/22/18,0,1,1,D1K,270,2,0,NH7,Retail Discount,CSI,AA,,
134992,128844,CKOT,5/21/18,5/25/18,5/26/18,4,1,1,A1K,0,2,0,XO,Other,NOR,PMS,,
134993,128845,CKOT,5/21/18,5/29/18,5/31/18,8,2,1,D1K,504,1,0,NH7,Retail Discount,CSI,UA,,
134994,128846,CKOT,5/21/18,5/25/18,5/28/18,4,3,1,B1K,634,2,0,N78I,OTA E-Commerce,TEC,EXPDC,,
134996,128848,CKOT,5/21/18,6/4/18,6/5/18,14,1,1,A1K,490,1,0,R04,BAR,RAC,AA,,
134998,128850,CKOT,5/22/18,6/20/18,6/23/18,29,3,1,C1K,1463,2,0,NH7,Retail Discount,CSI,UA,,
135000,128853,CKOT,5/21/18,5/22/18,5/24/18,1,2,1,D1K,960,1,0,R04,BAR,RAC,XBE,,
135002,128855,CKOT,5/22/18,5/29/18,5/31/18,7,2,1,C1S,930,2,0,T03,Retail Discount,TRA,XBE,,
135003,128856,CKOT,5/22/18,5/26/18,5/31/18,4,5,1,D1K,1949,2,0,NH7,Retail Discount,CSI,AA,,
135004,128858,CKOT,5/22/18,8/6/18,8/7/18,76,1,1,D1K,380,1,0,N8N,Retail Discount,CSI,UA,,
135008,128862,CKOT,5/22/18,8/15/18,8/18/18,85,3,1,A1D,1002,2,0,NL5S,Retail Discount,TRA,DSF,,
135009,128863,CKOT,5/22/18,6/14/18,6/15/18,23,1,1,A1K,349,1,0,NOL,Corporate,COT,1P,,
135010,128864,CKOT,5/22/18,5/29/18,5/31/18,7,2,1,A1K,504,1,0,NTRK,Retail Discount,CSI,AA,,
135011,128865,CKOT,5/22/18,5/22/18,5/23/18,0,1,1,A1K,295,2,0,NFCC,OTA E-Commerce,TEC,1P,,
135013,128867,CKOT,5/22/18,5/29/18,5/31/18,7,2,1,D1K,702,1,0,NTRK,Retail Discount,CSI,AA,,
135014,128868,CKOT,5/22/18,6/7/18,6/8/18,16,1,1,A1K,276,1,0,BRG,Retail Discount,TRA,XBE,,
135019,128871,CKOT,5/22/18,7/12/18,7/14/18,51,2,1,C1S,833,2,0,NH7,Retail Discount,CSI,PMS,,
135022,128874,CKOT,5/22/18,7/30/18,8/1/18,69,2,1,C1K,981,2,0,NH7,Retail Discount,CSI,AA,,
135051,128901,CKOT,5/22/18,7/8/18,7/13/18,47,5,1,C1S,2480,2,0,T03,Retail Discount,TRA,XBE,,
135075,128927,CKOT,5/23/18,5/23/18,5/24/18,0,1,1,B1K,259,1,0,N1NJ,Corporate,COT,AA,,
135025,128877,CKOT,5/22/18,5/29/18,5/30/18,7,1,1,D1K,304,1,0,N85,Corporate,CON,AA,,
135026,128878,CKOT,5/22/18,5/30/18,6/1/18,8,2,1,D1K,780,1,0,N8N,Retail Discount,CSI,AA,,
135027,128879,CKOT,5/22/18,5/22/18,5/23/18,0,1,1,D1K,280,1,0,R04,BAR,RAC,AA,,
135035,128881,CKOT,5/22/18,6/10/18,6/13/18,19,3,1,A1K,825,1,0,F&F,Retail Discount,TRA,HRO,,
135030,128882,CKOT,5/22/18,5/30/18,5/31/18,8,1,1,C1S,374,1,0,NMNM,Retail Discount,CSI,AA,,
135031,128883,CKOT,5/22/18,6/1/18,6/3/18,10,2,1,A1K,612,2,0,NH7,Retail Discount,CSI,AA,,
135032,128884,CKOT,5/22/18,6/21/18,6/25/18,30,4,1,D1K,1471,1,0,N52F,Retail Discount,TRA,AA,,
135034,128886,CKOT,5/22/18,5/22/18,5/23/18,0,1,1,B1K,202,1,0,NW86,OTA E-Commerce,TEC,EXPDC,,
135044,128894,CKOT,5/22/18,5/29/18,5/31/18,7,2,1,D1K,662,1,0,NTVV,Corporate,COT,AA,,
135045,128895,CKOT,5/22/18,9/4/18,9/7/18,105,3,1,B1K,759,2,0,NL5S,Retail Discount,TRA,DSF,,
135046,128896,CKOT,5/22/18,5/29/18,5/31/18,7,2,1,C1K,1120,2,0,N8N,Retail Discount,CSI,AA,,
135047,128897,CKOT,5/22/18,5/28/18,5/29/18,6,1,1,B1K,252,1,0,NG9,Corporate,CON,AA,,
135048,128898,CKOT,5/22/18,7/29/18,7/30/18,68,1,1,B1K,345,2,0,PARK,Retail Discount,TRA,XBE,,
135049,128899,CKOT,5/22/18,5/22/18,5/23/18,0,1,1,D1K,295,2,0,NFCC,OTA E-Commerce,TEC,1P,,
135050,128900,CKOT,5/22/18,5/27/18,5/28/18,5,1,1,B1K,0,2,0,XO,Other,NOR,PMS,,
135052,128902,CKOT,5/22/18,9/19/18,9/22/18,120,3,1,A1K,795,1,0,N85,Corporate,CON,AA,,
135053,128903,CKOT,5/22/18,6/12/18,6/15/18,21,3,1,C1K,1851,1,0,T08,Retail Discount,TRA,XBE,,
135054,128904,CKOT,5/22/18,6/7/18,6/8/18,16,1,1,D1K,280,1,0,R04,BAR,RAC,XBE,,
135057,128909,CKOT,5/23/18,6/9/18,6/10/18,17,1,1,D1K,257,2,0,NH7,Retail Discount,CSI,UA,,
135058,128910,CKOT,5/23/18,6/15/18,6/17/18,23,2,1,D1K,605,2,0,NXTZ,Retail Discount,CSI,AA,,
135059,128911,CKOT,5/23/18,5/24/18,5/25/18,1,1,1,B1K,197,1,0,N35,Corporate,CON,UA,,
135060,128912,CKOT,5/23/18,5/24/18,5/25/18,1,1,1,B1K,197,1,0,N35,Corporate,CON,UA,,
135061,128913,CKOT,5/22/18,6/21/18,6/24/18,30,3,1,C1S,825,1,0,T08,Retail Discount,TRA,PMS,,
135062,128914,CKOT,5/23/18,9/19/18,9/23/18,119,4,1,D1K,1201,2,0,NXTZ,Retail Discount,CSI,AA,,
135063,128915,CKOT,5/22/18,6/21/18,6/24/18,30,3,1,A1D,1380,3,0,R04,BAR,RAC,MOBILEGC,,
135064,128916,CKOT,5/23/18,8/16/18,8/19/18,85,3,1,D1K,900,2,0,NH7,Retail Discount,CSI,UA,,
135065,128917,CKOT,5/23/18,5/26/18,5/27/18,3,1,1,D1K,455,2,0,R04,BAR,RAC,XBE,,
135414,129270,CKOT,5/28/18,6/18/18,6/19/18,21,1,1,A1K,300,2,0,NFNK,OTA E-Commerce,TEC,EXPDC,,
135067,128919,CKOT,5/23/18,8/5/18,8/9/18,74,4,1,B1K,1001,2,0,NL5S,Retail Discount,TRA,DSF,,
